sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC
SRR6700252	5711568	233034	0.955795851506977	0.000154948693598676	6.12791443610581e-06	0.000389210108327521	0.00170776221170789	0.00101635838004555	0.000549761466553493	5.86528953170128e-05	1.05049961761814e-06	7.00333078412093e-07	1.22558288722116e-05	6.0578811282646e-05	0.000733423816367064	0.000286436229070546	0.00121875463970664	0.00312768752818841	0.0153765130696159	0.000740427147151185	0.00256882173161556	0.0136813568533194	0.00138158208043746	0.00113173825471394	FALSE
SRR6700253	5e+06	151317	0.9685456	0.0001258	4e-07	0.0004296	0.0022416	0.0002024	0.0002412	0.0001102	8e-07	4e-07	2.6e-06	4.26e-05	0.0003066	0.0002724	0.0002574	0.002022	0.0147812	0.0001764	0.0012246	0.0085864	0.0002768	0.000153	FALSE
SRR6700265	5194756	252603	0.949934703381641	0.000192309321169271	2.69502552189169e-06	0.00012243115942308	0.00318070762130117	0.000283940188913589	0.000264112501145386	0.000104528489884799	1.92501822992264e-06	1.54001458393811e-06	3.08002916787622e-06	5.29380013228725e-05	0.000471436964508054	0.000340920728519299	0.000381153609524682	0.00132961009140757	0.0154072684068318	0.000273737592294999	0.00130227483254266	0.0256162175855805	0.000455266811376704	0.00027720262510886	FALSE
SRR6700268	5693423	219488	0.960370589011215	9.11578149032665e-05	2.81026018969608e-06	7.3242406193954e-05	0.00422979286801631	0.000195664365707589	0.000184247683686949	9.43193576166745e-05	5.26923785568014e-07	7.02565047424019e-07	7.02565047424019e-07	5.83128989361936e-05	0.000429618526499788	0.000259070861237607	0.000342324819357353	0.000839740872933559	0.0122739870197595	0.000187233585138501	0.000945125630047161	0.0187953714312111	0.000370778703778026	0.000254679829691207	FALSE
SRR6700279	6947485	269482	0.9599528462458	0.000147823277056374	4.17417238036498e-06	0.000285858839565685	0.003541857233229	0.000310040251976075	0.000257503254774929	2.74919629189556e-05	3.59842446583188e-06	1.29543280769948e-06	4.46204633763153e-06	5.90141612396428e-05	0.000331198987835166	0.000219935703351645	0.000368046854365285	0.00110745111360442	0.00903362871600298	0.000210435862761848	0.00116776070765176	0.0222919516918712	0.000414826372421099	0.000258798687582629	FALSE
SRR6700280	5502237	175207	0.966984882694075	0.00013394552070367	2.90790818352608e-06	0.000260076038164114	0.00274760974490921	0.000299151054380246	0.000270071972544985	5.14336259961176e-05	7.26977045881521e-07	3.08965244499646e-06	3.99837375234836e-06	5.05249046887657e-05	0.000308965244499646	0.000226998582576505	0.000352765611514008	0.00141269814440926	0.00891582823495244	0.000223545441608568	0.00118242816512629	0.0159555104587461	0.000384752601532795	0.000228089048145327	FALSE
SRR6700291	6573435	228418	0.963304269381229	0.000401616506438415	2.16020999675208e-05	0.00027763262282201	0.00200853891458575	0.000502933397835378	0.000305167693907371	1.44521091332005e-05	4.71595140136017e-06	4.71595140136017e-06	3.34680422032012e-06	4.27478175413616e-05	0.000419871802185615	0.000145738111048485	0.000637718331435543	0.00107995287091148	0.00771301458065684	0.000335897441748492	0.00142802050982477	0.0203251420300041	0.000626004516664423	0.000396900555037054	FALSE
SRR6700293	5935064	298358	0.948234088124408	0.00023908756502036	9.26695988451009e-06	0.000306989107446862	0.00323063070591994	0.000362590866753922	0.0003174354985894	2.61159778563466e-05	1.51641161746529e-06	1.34792143774692e-06	6.06564646986115e-06	4.97046030169178e-05	0.000392919099103228	0.000295531775226013	0.000475647777344945	0.00344073796002874	0.0160926655550808	0.000284411423364601	0.00182222129365412	0.0236860124844484	0.000436221075290848	0.000288792168037278	FALSE
SRR6700295	6987546	145997	0.977692597658749	0.000328298375423933	1.05902701749656e-05	0.000293808441475734	0.0021558355394011	0.000325865475518873	0.000237279296622877	1.1019605452329e-05	1.71734110945388e-06	1.14489407296925e-06	3.86401749627122e-06	6.86936443781551e-05	0.000299389800081459	0.000101895572494263	0.000429049053845227	0.00168871875762965	0.00442143779804813	0.000224971685338458	0.00117952711867657	0.00989174167869521	0.000398995584429784	0.000233558390885727	FALSE
SRR6700331	7419116	254180	0.964184142693011	0.000167270602050163	3.23488674391936e-06	0.000679056642327738	0.00244732660872266	0.000341954486221809	0.000677573985903442	3.67968367120827e-05	5.39147790653226e-07	1.61744337195968e-06	2.96531284859274e-06	3.70664106074093e-05	0.000327262708926508	0.000261891039309805	0.000424713672087079	0.0038724290063668	0.0136845144354125	0.000224150693964079	0.00156784177521958	0.0105935801515976	0.000299092236864877	0.000164979223939887	FALSE
SRR6700341	5e+06	179077	0.962097	0.0002532	6.4e-06	0.000483	0.001752	0.0006404	0.0007706	5.12e-05	6e-07	1.8e-06	4.6e-06	4.7e-05	0.0005344	0.0002514	0.0005388	0.0069572	0.0103478	0.000372	0.0026834	0.0114328	0.0004852	0.0002892	FALSE
SRR6700348	5e+06	99809	0.9786634	0.0004426	2.2e-06	0.000134	0.00203	0.0002266	0.0002584	2.56e-05	7.4e-06	5.8e-06	4.6e-06	6.58e-05	0.0004196	0.0001006	0.0003926	0.0006696	0.0046148	0.0001974	0.0011192	0.010109	0.000362	0.0001488	FALSE
SRR6700354	9456331	341704	0.962793180568658	0.000175543770623088	2.96097926352197e-06	7.20152456592308e-05	0.00228820247514602	0.000243963541462328	0.000237089839600581	1.69198815058398e-05	5.28746297057495e-06	3.80697333881396e-06	3.48972556057947e-06	5.1711387852223e-05	0.00050019399701639	0.000168564319501929	0.000348549559020301	0.000710000527688804	0.00609982878137409	0.000210123778450649	0.00114209200164419	0.02433575982059	0.00038027433684375	0.000210441026228883	FALSE
SRR6700355	5e+06	110728	0.9761118	0.000531	5.4e-06	0.0001366	0.0016746	0.0003272	0.000297	2e-05	2.4e-06	2.8e-06	7.4e-06	5.94e-05	0.000373	0.000136	0.0005302	0.0009804	0.0047226	0.000246	0.0011398	0.0119934	0.0004376	0.0002654	FALSE
SRR6700365	5101518	143595	0.969830352455877	0.000508084064390246	8.42886372252338e-06	0.000165048912892202	0.00267018561926078	0.000409093920672239	0.000341270970718912	2.78348522929842e-05	9.80100432851555e-07	3.72438164483591e-06	1.03890645882265e-05	0.000124472754972147	0.000689402644467784	0.000171909615922163	0.000652550868192565	0.000959714343848243	0.00565047501547579	0.000284817185786662	0.00143878743542608	0.0152687886233078	0.000510044265255949	0.000273644040852154	FALSE
SRR6700373	5e+06	83203	0.981455	0.0002616	3.4e-06	0.0004674	0.0011922	0.0006702	0.0006108	2.28e-05	1.4e-06	1.6e-06	4.4e-06	3.98e-05	0.0004028	0.0001984	0.0004594	0.0010606	0.0048382	0.0002444	0.001062	0.0064104	0.000379	0.0002142	FALSE
SRR6700375	8101401	73914	0.989754735014351	0.000197002962820875	4.5671112934664e-06	0.000107388833116642	0.000973658753590891	0.000275507902892352	0.000275507902892352	1.12326250731201e-05	2.96245056873496e-06	4.93741761455827e-07	4.19680497237453e-06	2.65386196782507e-05	0.000295381008790949	6.66551377965367e-05	0.000335744397789962	0.000610017946278674	0.00223640330851417	0.000251067685700288	0.00122015932799771	0.00276668196031773	0.000388945072586828	0.000195151431215416	FALSE
SRR6700493	5870050	116250	0.978546860759278	0.0001729116447049	1.31174351155442e-05	0.00950094121855861	0.000912257987581026	0.000187732642822463	0.000594373131404332	1.51617107179666e-05	1.36285040161498e-06	8.51781501009361e-07	1.36285040161498e-06	2.52127324298771e-05	0.000206471835844669	4.75294077563224e-05	0.000344630795308388	0.00154138380422654	0.00316402756364937	0.000205960766944064	0.000879379221642064	0.00330031260381087	0.000227084948169096	0.000111072307731621	FALSE
SRR6700495	13144890	404341	0.967411138472821	0.000346674639346545	7.5314437777722e-06	0.00898919656231433	0.00221150576383675	0.000314723059683269	0.000307724142233218	3.08865270078335e-05	5.17311289786373e-06	1.29327822446593e-06	6.99891745005093e-06	7.12824527249753e-05	0.000324612834340949	0.000136859266224366	0.000461243874996291	0.00108939671613836	0.0054380827834999	0.000231572877369076	0.00113192274716639	0.0108896308755722	0.000369192895490187	0.000223356756884234	FALSE
SRR6700496	6963058	95384	0.985164707805105	0.000205943997594161	4.02122171034623e-06	0.00446183271775131	0.001194590078095	0.000273730306425711	0.000223034189863132	2.21167194069043e-05	1.29253554975415e-06	1.00530542758656e-06	1.09147446423683e-05	4.82546605241548e-05	0.000186125119164597	5.27067274177524e-05	0.000331750791103564	0.000853360692959903	0.00375481577203579	0.000239693536948852	0.000931056441006236	0.00160733976364982	0.000290246038450348	0.000141460835167537	FALSE
SRR6700498	5047342	183532	0.96241883351673	0.000211200271350743	3.16998531108056e-06	0.00736011152008324	0.00416298320977655	0.0002375507742491	0.000203671556236926	7.15227935812552e-05	1.18874449165521e-06	2.17936490136789e-06	5.74559837633352e-06	6.1814713566071e-05	0.000311451056813666	0.000176528557010799	0.000348896508300805	0.000810327495144969	0.00793962445976516	0.000164641112094247	0.000843414216829373	0.0141286245314861	0.000333442829909287	0.000203077183991099	FALSE
SRR6700499	7457808	279607	0.961090309645944	0.000254632460369052	4.82715564680668e-06	0.0105242720112934	0.00352181230731604	0.000274343345926846	0.000264689034633233	5.16237478894603e-05	2.41357782340334e-06	1.20678891170167e-06	4.29080501938371e-06	6.03394455850834e-05	0.000327039795071152	0.000146691896600181	0.000389256467852216	0.000879346853659949	0.0069496291671762	0.000225937701801924	0.000989030556967946	0.0135019566070888	0.000347421118913225	0.000188929508509739	FALSE
SRR6700500	5e+06	228780	0.951855	0.0001618	1.1e-05	0.0109706	0.0023506	0.0005118	0.0007184	6.8e-06	3.4e-06	3.6e-06	5.8e-06	3.82e-05	0.0004818	0.00019	0.0007686	0.0019238	0.00704	0.0003448	0.001648	0.0199454	0.0006374	0.0003832	FALSE
SRR6700501	6543388	411692	0.934337838440881	0.000574625866599994	1.26845603531382e-05	0.0377643813877459	0.00122719300765903	0.000362197687192017	0.000415381145058187	1.9714557657287e-05	1.2226082268085e-05	8.25260553095736e-06	3.05652056702124e-06	5.74625866599994e-05	0.00034385856378989	0.000123483430907658	0.000908856390603767	0.000978086581446798	0.0136909197498299	0.000538406097880792	0.00119005628276972	0.00680381478218929	0.000401932454563294	0.000225571217846168	FALSE
SRR6700504	7442130	213898	0.969129133729188	0.000609234184299387	1.41088639945822e-05	0.0110823111125444	0.00140268982132803	0.000319935287343812	0.000375295782255886	1.94836693258516e-05	2.01555199922603e-06	2.95614293219817e-06	5.91228586439635e-06	4.08485205176475e-05	0.000348018645199694	9.98370090283293e-05	0.000526462182197839	0.00111728765823763	0.00633501430370069	0.000291583189221365	0.00117318563368283	0.00637841585675069	0.000456320972624773	0.000269949597763006	FALSE
SRR6700510	8062483	449653	0.942426049146398	0.000312558798573591	5.58140711738555e-06	0.00834581604699198	0.00284763391129011	0.000354853461396446	0.000281799043793333	7.71474494891958e-05	5.33334457883508e-06	2.72868792405516e-06	6.20156346376172e-06	8.74420448390403e-05	0.000398884561989154	0.000309333985572435	0.000445396287967367	0.00107460691700063	0.0160267004593994	0.000237147786854248	0.00117085518195821	0.024881540835497	0.000421086159189421	0.000281302918716232	FALSE
SRR6700512	7437698	164868	0.9766814947313	0.000261908993884936	4.43685667258875e-06	0.0101302849349355	0.00133549385844921	0.000241472563150588	0.000226548590706426	1.90919287123516e-05	1.34450202199659e-06	1.61340242639591e-06	1.82852274991536e-05	4.51752679390855e-05	0.000234884503242804	0.000101778803065142	0.000254917583370554	0.000732350251381543	0.00400984283040263	0.000231254347783414	0.00103042634965819	0.00400917057939163	0.00029189138897546	0.000136332505030454	FALSE
