sample	group
SRR6700257	adenoma
SRR6700260	adenoma
SRR6700271	adenoma
SRR6700277	adenoma
SRR6700283	adenoma
SRR6700287	adenoma
SRR6700334	adenoma
SRR6700336	adenoma
SRR6700344	adenoma
SRR6700351	adenoma
SRR6700358	adenoma
SRR6700367	adenoma
SRR6700483	adenoma
SRR6700485	adenoma
SRR6700487	adenoma
SRR6700494	adenoma
SRR6700509	adenoma
SRR6700511	adenoma
SRR6700559	adenoma
SRR6700561	adenoma
SRR6700565	adenoma
SRR6700567	adenoma
SRR6700570	adenoma
SRR6700571	adenoma
SRR6700574	adenoma
SRR6700962	adenoma
SRR6700258	adenoma
SRR6700264	adenoma
SRR6700276	adenoma
SRR6700281	adenoma
SRR6700286	adenoma
SRR6700332	adenoma
SRR6700338	adenoma
SRR6700340	adenoma
SRR6700368	adenoma
SRR6700482	adenoma
SRR6700495	adenoma
SRR6700496	adenoma
SRR6700498	adenoma
SRR6700499	adenoma
SRR6700512	adenoma
SRR6700519	adenoma
SRR6700568	adenoma
SRR6700572	adenoma
SRR6700573	adenoma
SRR6700575	adenoma
SRR6700957	adenoma
SRR6700959	adenoma
SRR6701058	adenoma
SRR6701060	adenoma
SRR6700252	NC
SRR6700253	NC
SRR6700265	NC
SRR6700268	NC
SRR6700279	NC
SRR6700280	NC
SRR6700293	NC
SRR6700331	NC
SRR6700348	NC
SRR6700582	NC
SRR6700584	NC
SRR6700960	NC
SRR6700961	NC
SRR6701062	NC
SRR6700266	NC
SRR6700269	NC
SRR6700290	NC
SRR6700294	NC
SRR6700298	NC
SRR6700299	NC
SRR6700326	NC
SRR6700330	NC
SRR6700335	NC
SRR6700337	NC
SRR6700352	NC
SRR6700505	NC
SRR6700506	NC
SRR6700508	NC
SRR6700577	NC
SRR6700580	NC
SRR6700583	NC
SRR6700956	NC
SRR6701061	NC
SRR6701063	NC
