sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC	mir_dup_ratio	mir_rmdup_num	QCrankSum
SRR6700252	5365203	1886680	0.319601886452386	0.009340373514292	0.00125344744644331	0.00619696962072078	0.472167409136243	0.0392486547107351	0.00670300825523284	0.00732423358445151	7.80958334661335e-05	0.00011295005985794	9.54297535433422e-05	0.00242730796952138	0.00781908904472021	0.0301841328277793	0.0103300844348294	0.0114463516105542	0.0216118569977688	0.00515767996103782	0.0189209988885789	0.0164249143974608	0.00807220155509493	0.00548292394528222	TRUE	0.998092586905325	4832	540
SRR6700253	5e+06	1772208	0.2539472	0.0079946	0.0010834	0.0059064	0.660252	0.0065824	0.0019594	0.007409	0.000105	8.6e-05	6.4e-06	0.0022178	0.0010892	0.0234636	0.0010336	0.0015036	0.0164254	0.0007532	0.0024356	0.0038418	0.0011276	0.0007768	TRUE	0.999088832748708	3008	709
SRR6700254	5e+06	1798140	0.251524	0.0065284	0.0008546	0.0048802	0.6942144	0.0073004	0.0018454	0.0040958	6.62e-05	5.42e-05	6.2e-06	0.0010096	0.0009588	0.0059768	0.0009818	0.001649	0.009859	0.000642	0.002649	0.0029848	0.0010406	0.0008788	TRUE	0.999171149431645	2877	750
SRR6700255	5e+06	1746988	0.3007316	0.0145154	0.0012604	0.0066372	0.6266902	0.0099156	0.0024278	0.0038854	5.22e-05	7.36e-05	9.6e-06	0.0029006	0.0012934	0.0085192	0.0015434	0.0018714	0.0082034	0.000837	0.0031498	0.0028328	0.0016784	0.0009716	TRUE	0.999001739615523	3128	599
SRR6700256	6248652	2332963	0.249858049384091	0.0146962896957616	0.00128043616447195	0.00561497103695325	0.655266127798444	0.011945136327003	0.00269226066678061	0.00625318868773617	0.000449056852581965	0.000179718761742533	1.28027612995571e-05	0.00270794404937257	0.00178406478709328	0.0167945022382427	0.00219167269996793	0.00268345876838717	0.0121218144329369	0.00122218360055897	0.00427692244663329	0.00450161090744052	0.00196010275496219	0.00150768517753909	TRUE	0.999026017638166	3988	568
SRR6700257	5e+06	1588800	0.3242184	0.0146554	0.0016564	0.0083706	0.5926914	0.0104034	0.0031244	0.0048028	5.74e-05	6.1e-05	1.08e-05	0.004555	0.0014346	0.0154574	0.0014832	0.0021604	0.0044134	0.0010484	0.003385	0.0034572	0.0014574	0.001096	TRUE	0.998924229371305	3188	782
SRR6700258	9188493	3388365	0.283280294167934	0.0104953010248797	0.000676933638628228	0.00216716712958262	0.617692803379183	0.00650378685601654	0.00239712866952176	0.00872319323745472	0.000102628363541225	0.000112205559714743	8.9242055253239e-06	0.00299962137425582	0.000989498495563962	0.0351665936949617	0.00122413980181516	0.0021575899334091	0.0130709138049079	0.000888284945093826	0.00324209856828535	0.00569766990082052	0.00121848054953081	0.0011847426993741	TRUE	0.999316732168524	3878	453
SRR6700259	5e+06	1244616	0.5147772	0.0193958	0.003257	0.0115342	0.3347072	0.0199746	0.0085192	0.0064274	4.76e-05	0.000107	3.54e-05	0.0024358	0.003086	0.0176786	0.0040044	0.0068132	0.0146596	0.0033654	0.0115098	0.009561	0.0046896	0.003414	TRUE	0.998280885502314	2877	600
SRR6700260	5e+06	1785839	0.3185666	0.0093042	0.0018524	0.0050996	0.568648	0.009623	0.0030092	0.0080042	5.36e-05	5.66e-05	6.8e-06	0.0025868	0.0011956	0.0336624	0.0013814	0.0022688	0.0199006	0.0011362	0.0042694	0.0063296	0.0017762	0.0012688	TRUE	0.998990236490764	2871	845
SRR6700261	7202745	1845166	0.50157807891297	0.027475913696792	0.00361931458076053	0.00981070411350117	0.338285056599949	0.0261433661749791	0.00690375683159684	0.00633008665446299	6.96956507553717e-05	0.000167158493046748	3.67915287852062e-05	0.00320294554367814	0.00455923401425429	0.0155232484282034	0.00511082927411702	0.0067629771705093	0.012335158331997	0.00293249309811745	0.0107242447150357	0.0106610743542913	0.00444163995809931	0.003326231874098	TRUE	0.998192959725123	4403	544
SRR6700262	5e+06	1645996	0.4150688	0.0215042	0.0016696	0.0054914	0.4668618	0.0099964	0.004507	0.0082448	0.0004532	0.0003262	7.2e-06	0.0020452	0.0018948	0.0186236	0.00197	0.003567	0.018236	0.0015662	0.0060478	0.0076058	0.002322	0.001991	TRUE	0.998623147149756	3214	776
SRR6700263	5798684	1772685	0.415651551283015	0.00810614960222009	0.00115698665421327	0.00357943285062611	0.48697721758937	0.00960545530675581	0.00333903347725105	0.00627245768177745	8.32947613630955e-05	0.000163657823050885	1.70728392856034e-05	0.00214945322076526	0.00215721360225872	0.0248363249316569	0.00229931481005	0.00367066044640474	0.0108705699431112	0.00151344684414602	0.00559592486847016	0.00776900413955994	0.00221791703082975	0.00196786029381839	TRUE	0.99879383545805	3406	685
SRR6700264	6182967	1982290	0.353126743196268	0.00599065141379535	0.0012062170152291	0.00344802099056974	0.531163760052415	0.00897012712505178	0.00355654494031749	0.00710370927096975	7.08397764374288e-05	8.68515067280805e-05	1.39091798484449e-05	0.00203478362410797	0.00239205546463373	0.041042755039773	0.0018570372444168	0.00308120680572935	0.0140332303245351	0.00127511597587372	0.0052643011033376	0.0107524429614455	0.00176873012584411	0.00176096686267289	TRUE	0.998925450829556	3529	666
SRR6700265	5896212	1954924	0.346760258959481	0.00893014023240684	0.00125555186957321	0.00343339079395381	0.54448127034781	0.00735048197045832	0.00265170248288223	0.0072263344669425	9.12450230758324e-05	9.49762321978925e-05	9.32802280515015e-06	0.00212373639211073	0.00140937944565087	0.0409359432801941	0.00149214444799475	0.00249702690473138	0.0130108958090381	0.00105762818568939	0.00408686119155824	0.00805618929577159	0.00157304384577759	0.00147247079989661	TRUE	0.998954328416881	3357	675
SRR6700266	7317444	2698363	0.255210699255095	0.00746449169956067	0.000656240075086328	0.00193059215758945	0.614273235299102	0.00560878907990276	0.00144517675844188	0.0108924646365589	0.00012504366278717	0.000103998062711515	9.9761610748234e-06	0.00185638591836166	0.000946778683922965	0.0617538036505643	0.00101141874129819	0.00172737912309271	0.0210376738106913	0.000686305218051549	0.00250538302718818	0.00872517780798869	0.00115327155219773	0.000875715618732443	TRUE	0.999269395827725	3284	508
SRR6700267	6513647	2308169	0.287666034097334	0.00561344512528849	0.00050263700197447	0.00136006756276476	0.602961443873148	0.00454906444884103	0.00114651592264671	0.00822473185912592	9.41101045236255e-05	0.000118980964120408	9.82552477897559e-06	0.00198598419595044	0.000811526937213515	0.0547433718775365	0.000903334184367068	0.00138493842236154	0.0153040224623778	0.000611945965140573	0.00219846116929579	0.00794654668882118	0.00106729762911622	0.000795713983272351	TRUE	0.999172242339741	3251	740
SRR6700268	6190378	2358287	0.259462507782239	0.00579835350926874	0.000734850117391862	0.00194689241917053	0.655926988626543	0.00524426779753999	0.00159731764360755	0.00596926391247837	0.000111947929512544	8.43244144380198e-05	1.19540357632442e-05	0.00236592983497938	0.00097296158651378	0.0347038581488885	0.00107554013664432	0.00158455590272516	0.0107542705792764	0.000785897080921391	0.00268852725956315	0.00612789719787709	0.00116842622534521	0.000883467859313276	TRUE	0.999161173824683	3406	614
SRR6700269	9666148	4394029	0.238194883835836	0.00966175978269731	0.000458507359912139	0.00101364059395739	0.72064528703678	0.00378040973508785	0.000958913519635743	0.00227494964902255	5.26579977877434e-05	2.98981559148484e-05	6.20722960169863e-06	0.00121806535550666	0.00043150591114475	0.0110107976827998	0.000523579816903279	0.000769179201477155	0.00426747035116781	0.000355570802350636	0.00151497783812125	0.00177299168189852	0.000577686168264752	0.000481060294131644	TRUE	0.999505445412084	3445	768
SRR6700270	5e+06	1667381	0.4115644	0.013929	0.0028596	0.0079324	0.4586608	0.023468	0.007808	0.0035152	0.0001458	0.0002382	3.74e-05	0.0018254	0.004745	0.0083444	0.0055002	0.0080128	0.008601	0.0033208	0.0117882	0.0098262	0.0042572	0.00362	TRUE	0.99820869801823	4108	532
SRR6700271	5e+06	1807763	0.3563658	0.0171326	0.0021614	0.0061356	0.5312382	0.0201284	0.0064514	0.0031542	0.000139	0.0001184	2.86e-05	0.0018904	0.0037856	0.0087214	0.0044108	0.0064838	0.007875	0.002416	0.0087712	0.0068174	0.0031384	0.0026364	TRUE	0.998315256696525	4475	619
SRR6700272	5e+06	1471620	0.430766	0.0118962	0.0013442	0.0045428	0.4273852	0.0134734	0.0037982	0.0096232	0.0001104	0.0003192	2.9e-05	0.0022922	0.0026614	0.044268	0.0032658	0.0044894	0.0154996	0.0019364	0.0070004	0.0100722	0.0029812	0.0022456	TRUE	0.998376172127626	3470	436
SRR6700273	5e+06	1503591	0.3929136	0.0164396	0.0027668	0.0068404	0.4256384	0.0158408	0.0045038	0.0074508	0.0001118	0.0001976	2.82e-05	0.0027136	0.002969	0.072237	0.0030398	0.0044988	0.0144034	0.0018518	0.0065898	0.013914	0.0028322	0.0022188	TRUE	0.998241230114576	3743	967
SRR6700274	7621813	2155336	0.428154823530832	0.0187843758433853	0.00289117562973534	0.0065497539758585	0.411138793355334	0.0135438904103263	0.00531107231310976	0.00689311060242491	8.56751536675067e-05	0.000110866010488581	2.32228211319275e-05	0.00250950790842021	0.00268387587047859	0.0533050338548059	0.00300755214015353	0.00479439734351919	0.0124253901269947	0.00197761346283358	0.00767035349725846	0.0125922795534343	0.0029453622123765	0.00260187438343082	TRUE	0.998525029973293	4622	388
SRR6700275	5181258	1381555	0.474063634738899	0.0177061246515808	0.00298363833648122	0.00687284825422706	0.380153815926557	0.0118210673932856	0.00399130867445705	0.00718589964058922	0.000134909321249781	0.00017505401197933	1.79493088358078e-05	0.00307840296700145	0.00203290397814585	0.0496771247446084	0.00238436302535021	0.00358638770738689	0.0126204871481019	0.00150098682597933	0.00547820625801688	0.0102588985146078	0.00242257768287161	0.00185341088978777	TRUE	0.998327135187277	3295	646
SRR6700276	5021609	1540300	0.348123280805017	0.0106091493782172	0.00143659133954874	0.00400608649538425	0.536772178001115	0.00760075107400835	0.00272342988074141	0.00824217895100953	8.6824760748995e-05	0.000111119762609952	1.13509434924145e-05	0.00290544325533908	0.00135593989894474	0.0455276386512769	0.00142504125669681	0.00224011865519597	0.0118195184053557	0.00102815651318133	0.00328500287457665	0.00812807209800683	0.00137943834336763	0.00118268865616578	TRUE	0.99889221134797	2986	454
SRR6700277	5762907	1806853	0.379968651237995	0.0148612497130355	0.00434589695790683	0.00973536446102635	0.459017298040728	0.0225566714854153	0.00612451320141033	0.00647815416767961	8.57206267600709e-05	0.000194693407337651	3.66134660857793e-05	0.00306963135098311	0.00337138878000287	0.0414060126252254	0.00388727425238686	0.00572488849811389	0.010592744252163	0.00245292870421126	0.00867287985039495	0.011022735574251	0.00344548332985419	0.00294920601703272	TRUE	0.998127604172573	4953	592
SRR6700278	8714541	2903252	0.394241647379937	0.0277865466465761	0.00586387739755886	0.00940692114478548	0.495597530610046	0.0121992655723348	0.00526189503268158	0.0036943999689714	5.41623477358131e-05	6.72439317228526e-05	2.18026399783993e-05	0.00273634606802584	0.00180353732916054	0.00959752211849138	0.00267472492240268	0.00382796982652328	0.00621329339089689	0.00176085005509757	0.00642340198984663	0.00575038891893446	0.00304961557929442	0.00196705712899853	TRUE	0.998885134079124	4815	587
SRR6700279	8079203	2834440	0.308236344599832	0.00761349850969211	0.000898355939317282	0.00318385365487165	0.586392741957344	0.0128172296202979	0.00261090110002187	0.00618563489492714	8.96127996783841e-05	0.000108055212871864	1.10159380820113e-05	0.00263404694745261	0.00139196898505954	0.0368785138831145	0.00167838337519184	0.00240036053061174	0.011132286192091	0.00114219187214382	0.004086789253841	0.007994848006666	0.00142266508218694	0.00109070164470431	TRUE	0.999026086281072	4614	458
SRR6700280	6249797	2100520	0.328293062958685	0.0113165275608152	0.00142884640893136	0.00458222883079242	0.567187382246175	0.0163072496594689	0.00332026784229952	0.00679686076203755	8.75228427419323e-05	0.000167365436029362	1.23204001665974e-05	0.00239303772586534	0.00139748539032548	0.0271288811460596	0.00167861452139966	0.00259928442475812	0.0105182616331378	0.00122707985555371	0.00438974257883896	0.00630852490088878	0.00157925129408203	0.00128020158094735	TRUE	0.998867921121776	4013	556
SRR6700281	6700140	2542553	0.289655589286194	0.0079947583184829	0.000958636685203593	0.00269263030324739	0.649773586820574	0.00877295101296391	0.0015320575390962	0.00379723408764593	8.01475790058118e-05	8.96996182169328e-05	7.31328002101449e-06	0.00215920861355136	0.000670881503968574	0.015959666514431	0.000899384191972108	0.00120101968018579	0.00583763921350897	0.000624464563427033	0.00223174441131081	0.00347828552836209	0.000945502631288301	0.000637598617342324	TRUE	0.999122559993238	3820	487
SRR6700282	7558191	2610808	0.303323639214727	0.00705552426499939	0.000759970209802848	0.00234765170660546	0.58342399656214	0.00820235953285647	0.00134384008025201	0.00751079193420754	6.3904180246305e-05	7.27687352701195e-05	4.76304449040782e-06	0.00267431717457259	0.000777302399476277	0.0544587984082435	0.000829034354913762	0.00123892079467164	0.0120923115068143	0.000715382821100975	0.00215567455228374	0.0093722161824172	0.000855760326776606	0.000721072013131184	TRUE	0.999140063905588	3792	407
SRR6700283	6945919	2329608	0.327217319983144	0.0126269828369723	0.00341725839302186	0.00837484571875946	0.56117671398126	0.019833804569273	0.00301328017214137	0.00582629886700378	8.16306668707193e-05	7.34244093546153e-05	1.33891569999593e-05	0.00271756696270141	0.00116111345381367	0.0291265993743952	0.00127916838650148	0.00203975888575723	0.00916149468486459	0.000992669220588377	0.00354006431690321	0.00605319468885255	0.00127312167043699	0.00100029960038405	TRUE	0.998848863794958	4487	353
SRR6700284	7345147	1956297	0.421885225714339	0.00916332920226103	0.0025693154949792	0.0068668469126622	0.412865392619099	0.0187994876072596	0.003406875315089	0.00826967792475767	7.29733523372643e-05	7.97805680403673e-05	9.66624629840628e-06	0.002632486456704	0.00189335897566107	0.0763953396712142	0.00207157188276831	0.00301205680430902	0.0125697960844078	0.00142243579332041	0.00532215352531406	0.00696296479839001	0.00220785234114443	0.00152141270964352	TRUE	0.998545781662142	4410	654
SRR6700285	6285556	2038732	0.38945703450896	0.0114339924741741	0.0023256494731731	0.00610781289674295	0.499655400413265	0.016955381512789	0.00365329654210383	0.00554191228270021	6.10924475098146e-05	0.000178345400152349	8.59112543106767e-06	0.00254615502590383	0.00162499546579491	0.0325958435498785	0.00176579446591519	0.00285225364311447	0.00627247613417174	0.00123728115698914	0.00433215454607357	0.00793517709491412	0.00184231912021785	0.0016170407200254	TRUE	0.998753746085158	3914	661
SRR6700286	7186759	2225401	0.371289060896574	0.00516199304860508	0.00120638524263858	0.00367300475777746	0.517379113450166	0.00927956537849676	0.00215410033924889	0.00778097609784884	6.5258901822087e-05	0.000104080295443328	7.79210768024919e-06	0.00193494731074188	0.00113082962709616	0.0464995417266671	0.00122071715497904	0.00201481641446443	0.0129063740693127	0.00087271606018791	0.00338093986454812	0.00955020197560542	0.00129390730926138	0.00109367797083498	TRUE	0.998939294227249	3944	409
SRR6700287	6093024	1946811	0.388536792239781	0.0136319830678494	0.00583864432505108	0.0147353760628548	0.47932931168497	0.0350750300671719	0.00752746091267653	0.00371851481300582	8.74770885524167e-05	0.000166583949119518	1.93664098483774e-05	0.00145198837227623	0.00305185077229304	0.00819691502938442	0.00354126292625796	0.00529507187235763	0.00696599914919094	0.00221105316506221	0.00810484252154595	0.00743391130578182	0.00307105306002405	0.0020095112049452	TRUE	0.998238012165454	5146	364
SRR6700288	7317428	2463946	0.385634405968873	0.0160429320247497	0.00336962659557429	0.00874009283043168	0.485539181253304	0.0244795029073057	0.00345476580022379	0.00862338515664247	0.00101606739417183	0.000385244651536032	1.53059244313712e-05	0.00441767243900452	0.00174364544482023	0.02636664139367	0.0020851588836952	0.00276599920081209	0.00802180766247376	0.00126547196637944	0.0047907543470192	0.00777513629105746	0.00206479653779989	0.00140240532602439	TRUE	0.99871063002653	4581	510
SRR6700289	7945985	2163612	0.428861494201159	0.0231450222974244	0.00300126416045336	0.00858131496598597	0.424947945408908	0.0251360907426833	0.0040329801780396	0.00732004905622148	0.000101183176157519	0.000191543276258387	1.76189610224535e-05	0.00245369202181982	0.00204770081997386	0.035237292796299	0.00253914398277872	0.00362535292981298	0.00802770204071616	0.00158872688533895	0.00570074068853641	0.00912309801742641	0.0024767225208706	0.0018433208721134	TRUE	0.998762967811102	4177	556
SRR6700290	6792324	2193531	0.355430041323117	0.0076417143822939	0.00224945099792059	0.00601370017095769	0.554479144398883	0.0128645217748741	0.00186166030949054	0.00646936159111373	8.86294587831794e-05	7.92070578494194e-05	7.80292577326994e-06	0.00218938319196787	0.000886000137802614	0.0269966509253681	0.00101526370061263	0.00150390352403684	0.00907362487419622	0.000759975525313575	0.0025746710551499	0.00604211459877356	0.000999216174022323	0.000773961901699624	TRUE	0.999037757401223	3624	598
SRR6700291	7396500	2347514	0.411379165821672	0.0138178868383695	0.00108537821942811	0.00451794767795579	0.463295612789833	0.0181464206043399	0.0035869668086257	0.00487906442236193	0.000172919624146556	0.00104955046305685	1.85222740485365e-05	0.00219374028256608	0.00236557831406746	0.0335511390522544	0.00301507469749206	0.00407544108700061	0.00887365645913608	0.00174717771919151	0.00677577232474819	0.0105371459474076	0.00281241127560333	0.00210342729669438	TRUE	0.99883563686578	3990	565
SRR6700292	5e+06	1426050	0.44501	0.0256288	0.0011598	0.0064792	0.4252856	0.026399	0.0046472	0.005104	9.06e-05	0.0003938	1.86e-05	0.0023898	0.0019956	0.0237484	0.0024068	0.0034012	0.0068338	0.0014724	0.0056698	0.007638	0.0024192	0.0018084	TRUE	0.998648907933868	2873	596
SRR6700293	6896211	2177223	0.351136877917454	0.00895941263978147	0.00321582387777868	0.00829600486412031	0.520554257983116	0.0207463199719382	0.00291797916276054	0.0093007595040233	0.000101069993363022	0.000139931913336178	1.17455802903942e-05	0.00226312680978004	0.0014708076652527	0.0372408848859178	0.0016712075660098	0.00245801643830213	0.0132356739084694	0.00110611464759416	0.00407658640375128	0.00822089115312742	0.00168875343286335	0.00118775368097061	TRUE	0.998860120138658	4092	681
SRR6700294	10938314	4108334	0.31674332991355	0.0107121627702405	0.000921531416999	0.0026185936882046	0.62383041847217	0.00760290845554443	0.00145205193414634	0.00454018782053614	0.00010486076739066	0.000238062282724742	7.40516317231339e-06	0.00123227400493348	0.000623679298290395	0.0113059471505389	0.000869786696560366	0.0012164580391457	0.00872511065233636	0.000564712258214566	0.00228746404610436	0.00276011458438659	0.000913760566756449	0.000729180018053971	TRUE	0.999396071283226	4121	415
SRR6700295	7756499	2305273	0.41415308633444	0.0120642057711862	0.00204667079825576	0.00679468920191958	0.485378261506899	0.0205200825784932	0.00335808719887671	0.006486818344204	8.79262667345151e-05	0.000202410907292066	1.27634903324296e-05	0.00253864533470577	0.00164674810117296	0.0183029740608488	0.00187636200301193	0.00285128638577791	0.00561168124949156	0.00130793544871211	0.00462012565204998	0.00651221640072409	0.0021971252752047	0.00142989768966643	TRUE	0.998989331806219	3805	519
SRR6700296	7721392	2282051	0.421650655736686	0.00817559838951319	0.00157937843331876	0.00511695300536484	0.471623121841243	0.0184214193502933	0.00347489157395454	0.00466522098606054	6.39781013578899e-05	0.000279483284879203	2.34413691210082e-05	0.0017382876041004	0.00248349002356052	0.0255319248135569	0.00290038376499989	0.004014302084391	0.00603220248369724	0.00175525345688964	0.00643433204790017	0.00921712043631511	0.00277268658293738	0.00204587462985949	TRUE	0.998885650679223	4058	316
SRR6700297	7800985	2558365	0.368744075267418	0.00755686621625346	0.00205704792407625	0.00582952024648169	0.556121053943829	0.0126426342314464	0.00189373521420692	0.00662429167598707	0.000225612534827333	0.000195616322810517	9.35779263772459e-06	0.00160697655488377	0.000836945590845259	0.016444205443287	0.000969749332936802	0.00153865184973436	0.00728702849704236	0.000708372083781728	0.0024471268692351	0.00444636158126185	0.00105819970170434	0.000756571125313021	TRUE	0.999138370584553	3738	453
SRR6700298	8187729	2477498	0.391920519108534	0.00670918639344316	0.0016788538067149	0.00486935998980914	0.508429626823262	0.00988772344565874	0.00154572775918695	0.00934874615415337	8.30511122192735e-05	0.00011150833155323	6.96163734779204e-06	0.00212232231916811	0.000875212162004873	0.0382741050662522	0.000989163173329259	0.00162731326354353	0.00883700474209637	0.000794237327591082	0.00249593019016628	0.00745432585763403	0.00103044446146178	0.000908676874869698	TRUE	0.999135455131587	3599	423
SRR6700299	7555418	2363575	0.365638406769817	0.00869309944201631	0.00182028313986069	0.00520315355153084	0.517674204127422	0.0131653867463058	0.00219895179856363	0.00983241430189567	8.72221761919724e-05	0.000271725535238421	8.73545315427949e-06	0.00242024994513871	0.00108372561253395	0.0414920789293193	0.00128437632438073	0.00204462545950469	0.0122968709342091	0.000926884521809382	0.0033271488089739	0.00802060190448761	0.00143009956563621	0.00107975495200927	TRUE	0.999033044465381	3782	480
SRR6700300	5e+06	1377015	0.4616368	0.020599	0.0075754	0.0183658	0.3389082	0.0469684	0.008367	0.0127682	0.0001036	0.0002878	3.58e-05	0.0034308	0.0049366	0.0164794	0.0055042	0.0078682	0.0129094	0.0031302	0.0110344	0.010906	0.005296	0.0028888	TRUE	0.997512010627067	4216	575
