sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC
SRR2105127	2506904	479407	0.111931689446425	0.240549299055728	3.15129737716323e-05	0.0592288336529839	0.242743639166079	0.0182751313971337	0.0050807689484719	0.195620574222228	0.000186684452216758	0.00565438485079604	4.70700114563621e-05	0.0789870693093952	0.0022765131811988	0.0100957196605853	0.00274083092132766	0.00439785488395248	0.00316924780526099	0.00198132836359111	0.00641468520533694	0.00651361200907574	0.00185168638288502	0.00222186410010116	TRUE
SRR2105128	5e+06	966443	0.1220928	0.2406476	4.3e-05	0.0566486	0.2500012	0.0186606	0.0051688	0.1825744	0.0001922	0.0058592	4.9e-05	0.0749168	0.0023694	0.0102646	0.0028596	0.0045728	0.0033358	0.002087	0.0066648	0.006544	0.0020646	0.0023832	TRUE
SRR2105129	3533061	639143	0.165039890338718	0.208274071690243	2.17941326232409e-05	0.0241442194176664	0.221678029334903	0.0202943000418051	0.0039976666126059	0.207859417089034	0.000153125009729523	0.00493905992565653	2.77379869750338e-05	0.0983889041259123	0.00184457613383975	0.0136816205550937	0.00285220096681037	0.00393964327250506	0.00321817257047076	0.00207949990107728	0.00622434766906091	0.00671061156317426	0.00227394885058594	0.00235716281151104	TRUE
SRR2105130	5e+06	911682	0.1758226	0.2095122	3.06e-05	0.02338	0.2279072	0.0204158	0.0041302	0.1944266	0.0001586	0.00505	4.58e-05	0.092304	0.0018784	0.0138404	0.0030338	0.0042402	0.0033796	0.0021462	0.0064988	0.0068482	0.0024442	0.0025066	TRUE
SRR2105131	2971300	551504	0.110306263251775	0.239387136943425	2.86070070339582e-05	0.0755002860700703	0.225673947430418	0.0191222697135934	0.00528825766499512	0.208992360246357	0.00017130548917982	0.00342745599569212	4.44249991586174e-05	0.0731952344091812	0.00231110961531989	0.00864032578332716	0.00266449029044526	0.00437518931107596	0.00312590448625181	0.00185979201023121	0.00602631844647124	0.00607107999865379	0.00172449769461179	0.00206374314273214	TRUE
SRR2105132	5e+06	940085	0.1201268	0.2392102	3.66e-05	0.072249	0.2329628	0.019285	0.0053938	0.1969606	0.0001702	0.003579	5.28e-05	0.0699294	0.0023598	0.0088082	0.0027434	0.0044828	0.0032924	0.0019492	0.006234	0.006112	0.00186	0.002202	TRUE
SRR2105133	4341369	823989	0.0837553776239707	0.275303711801508	1.84273670356056e-05	0.00930812377386027	0.262470663055824	0.0168398493654882	0.00492241041938614	0.217055956312398	0.000243471586957939	0.00418531573796192	4.46863650613436e-05	0.0889484399966923	0.00180012341729072	0.0125260027424529	0.00183006788872358	0.00314048402704308	0.00247387402453005	0.00184826491367124	0.00441312406293959	0.00603749646712823	0.0012638870365546	0.00157024201352154	TRUE
SRR2105134	5e+06	962799	0.0923494	0.2741208	3.06e-05	0.0099046	0.2703688	0.0169694	0.0049892	0.2042542	0.000256	0.004387	6.22e-05	0.0844722	0.001869	0.012681	0.0019708	0.0032758	0.0025414	0.0018832	0.0045304	0.0058964	0.0014688	0.0017188	TRUE
SRR2105135	4143419	696534	0.109457913862923	0.171063800209441	1.81009934066528e-05	0.0497535972104197	0.166804033094408	0.0292343110846381	0.00339574636308807	0.287000180285894	0.000133223311472965	0.00265963929788419	2.75135099781123e-05	0.148552198076033	0.00154510079719188	0.00941951562224337	0.00218273845826357	0.0031792584819445	0.00212022969436593	0.00164284616158781	0.00425904307529603	0.00423418437768423	0.00163005479291377	0.00168677123892129	TRUE
SRR2105136	4613031	791162	0.118897098241915	0.174728719577215	2.38454933426634e-05	0.0470911641391528	0.174676259491861	0.0300208257867766	0.00361085802371586	0.272204110486142	0.000143506514480393	0.00282590773831782	4.05373386825278e-05	0.142236416794077	0.001588760188258	0.00960518149563703	0.00241121293136768	0.00338172451041409	0.00234509588164484	0.00170126756139293	0.00445368782477291	0.00434096367442577	0.00180250251949315	0.00187035378691364	TRUE
SRR2105137	3774556	633828	0.116949119313636	0.214194199264761	3.65605914973841e-05	0.0715223194463137	0.186637845616809	0.0238401549745189	0.00548064461091583	0.22887645593283	0.000173530343701352	0.00357260562566829	3.81501824320529e-05	0.104977115189177	0.00236451651531995	0.0106764875127035	0.00310818014092253	0.00494733685233442	0.00346053946477413	0.0024103497206029	0.00664025119775677	0.00576491645639911	0.00222781169493842	0.00210090935198736	TRUE
SRR2105138	4998506	857182	0.127954832904072	0.215621827802147	4.42132109074191e-05	0.0682345884950423	0.193189324970301	0.0243298697650858	0.00566329219170688	0.21553080060322	0.000182854636965525	0.00363688670174648	4.28127924623878e-05	0.100186735796656	0.00249474542993446	0.010778220532295	0.0033506011596265	0.0052195596044098	0.00365949345664485	0.00251075021216339	0.00693447202023965	0.00584094527444801	0.0023266952165307	0.00226647722339435	TRUE
SRR2105139	4104221	722969	0.0964107439633489	0.172741428885043	1.63246569811908e-05	0.0272975066401151	0.183270588986314	0.0305719404486259	0.00333388479811394	0.3120355848284	0.000137419500558084	0.00264654364372679	2.2903250093014e-05	0.138827075832417	0.0014580111548574	0.0123916329067075	0.00192850238815113	0.0028027243172334	0.00196407552127432	0.0015535225807772	0.00387795881362139	0.00377002115626814	0.00146093497401821	0.00148067075335368	TRUE
SRR2105140	5e+06	899090	0.1051724	0.1757454	2.22e-05	0.0259622	0.1910986	0.031544	0.0035182	0.296065	0.0001558	0.0027756	3.5e-05	0.1334756	0.0015038	0.0127872	0.0021174	0.0030188	0.0021004	0.0016486	0.0040618	0.003905	0.0016364	0.0016506	TRUE
SRR2105141	3972045	760395	0.0698008204841587	0.164181926438396	6.29398710236163e-06	0.0238821564206851	0.253844556141736	0.0278284863338658	0.00211276559052075	0.292997687589139	0.000149041614583923	0.00270943556782463	2.24065940844074e-05	0.122652940739594	0.00101282840451203	0.0289896010745095	0.000821742956084334	0.00132526192427326	0.00101408720193251	0.000803616273229533	0.00185697795468078	0.00234765718918089	0.000814441931045595	0.000825267588861657	TRUE
SRR2105142	5e+06	977617	0.0772288	0.1665586	1.36e-05	0.0228512	0.2652554	0.0283614	0.0021942	0.2765184	0.0001534	0.0028082	2.94e-05	0.1168852	0.0010528	0.0294112	0.0009238	0.0014072	0.00115	0.0008468	0.002004	0.0023776	0.0009938	0.000975	TRUE
SRR2105143	3134783	621169	0.109664050111284	0.202698240994672	2.20110929528455e-05	0.0388310769836381	0.23225052579397	0.0207622026787819	0.00359004116074382	0.246077001183176	0.000178640754399906	0.00460829346082329	3.70041562685519e-05	0.105593273920396	0.00166327302400198	0.0111258099842956	0.00219951428854884	0.00324073468562258	0.0022687375808788	0.00156693461716489	0.00470909788652038	0.00519206592609441	0.00157682365892631	0.0021446460568403	TRUE
SRR2105144	5e+06	991810	0.1192116	0.2033844	3e-05	0.0369244	0.2407324	0.0210872	0.0036504	0.2329058	0.0001722	0.0047378	4.88e-05	0.1000824	0.0017108	0.0113936	0.0023498	0.0033916	0.002465	0.001645	0.0048706	0.0051846	0.0017288	0.0022928	TRUE
SRR2105145	3437609	671991	0.177135328654306	0.183743991826877	5.64345741473216e-05	0.0114794905412454	0.258023818299289	0.0206797806265925	0.00539910152667159	0.198200551604327	0.000194902910714977	0.0056437483145989	4.1889580810383e-05	0.0743685509317668	0.00249417545741822	0.0211504566109758	0.00430909972600142	0.00583516042691301	0.00464625267155165	0.00307015719356099	0.0089143355163429	0.00826999231151652	0.00316906314825217	0.00317371754611999	TRUE
SRR2105146	5e+06	991494	0.1874928	0.1820074	6.68e-05	0.0113478	0.264679	0.0207076	0.0055856	0.185615	0.0002132	0.0058112	5.18e-05	0.069769	0.0026166	0.0208354	0.0045116	0.0060326	0.0048616	0.0032296	0.0093144	0.0083432	0.0034568	0.003451	TRUE
SRR2105147	5e+06	1365620	0.064046	0.1608808	8.8e-06	0.0170236	0.41246	0.016277	0.0019484	0.2007848	0.000134	0.0018276	2.06e-05	0.07124	0.0008868	0.0424204	0.0007954	0.0011908	0.0012554	0.000617	0.001811	0.002698	0.000619	0.0010546	TRUE
SRR2105148	5e+06	1403618	0.0709474	0.1587862	1.3e-05	0.0163292	0.4235276	0.016494	0.0019964	0.1890158	0.0001538	0.0018992	2.52e-05	0.0672804	0.0009276	0.0420002	0.0008436	0.0012472	0.001331	0.0006552	0.0019332	0.0027176	0.000709	0.0011672	TRUE
SRR2105149	4988845	973744	0.084304683749445	0.2166579639175	1.18263846641858e-05	0.0131950381300682	0.289320273530246	0.0144235790047596	0.00316385856846625	0.246113078277637	0.000160357758158452	0.00367018818985156	3.84858619580284e-05	0.0995767557420605	0.00146627125116134	0.0143179433315727	0.00113854008292501	0.00190645329730629	0.00161059323350395	0.000920052637434116	0.00305341216253461	0.00312116331535656	0.000825040665725233	0.001004440907665	TRUE
