sample	group
SRR2105127	Colorectal Cancer
SRR2105128	Colorectal Cancer
SRR2105129	Colorectal Cancer
SRR2105130	Colorectal Cancer
SRR2105131	Colorectal Cancer
SRR2105132	Colorectal Cancer
SRR2105133	Colorectal Cancer
SRR2105134	Colorectal Cancer
SRR2105135	Colorectal Cancer
SRR2105136	Colorectal Cancer
SRR2105137	Colorectal Cancer
SRR2105138	Colorectal Cancer
SRR2105139	Colorectal Cancer
SRR2105140	Colorectal Cancer
SRR2105141	Colorectal Cancer
SRR2105142	Colorectal Cancer
SRR2105143	Colorectal Cancer
SRR2105144	Colorectal Cancer
SRR2105145	Colorectal Cancer
SRR2105146	Colorectal Cancer
SRR2105147	Colorectal Cancer
SRR2105148	Colorectal Cancer
SRR2105149	Colorectal Cancer
SRR2105150	Colorectal Cancer
SRR2105151	Colorectal Cancer
SRR2105152	Colorectal Cancer
SRR2105153	Colorectal Cancer
SRR2105154	Colorectal Cancer
SRR2105155	Colorectal Cancer
SRR2105156	Colorectal Cancer
SRR2105157	Colorectal Cancer
SRR2105158	Colorectal Cancer
SRR2105159	Healthy Control
SRR2105160	Healthy Control
SRR2105161	Healthy Control
SRR2105162	Healthy Control
SRR2105163	Healthy Control
SRR2105164	Healthy Control
SRR2105165	Healthy Control
SRR2105166	Healthy Control
SRR2105167	Healthy Control
SRR2105168	Healthy Control
SRR2105169	Healthy Control
SRR2105170	Healthy Control
SRR2105171	Healthy Control
SRR2105172	Healthy Control
SRR2105173	Healthy Control
SRR2105174	Healthy Control
SRR2105175	Colorectal Cancer
SRR2105176	Colorectal Cancer
SRR2105177	Colorectal Cancer
SRR2105178	Colorectal Cancer
SRR2105179	Colorectal Cancer
SRR2105180	Colorectal Cancer
SRR2105181	Colorectal Cancer
SRR2105182	Colorectal Cancer
SRR2105183	Colorectal Cancer
SRR2105184	Colorectal Cancer
SRR2105185	Colorectal Cancer
SRR2105186	Colorectal Cancer
SRR2105187	Colorectal Cancer
SRR2105188	Colorectal Cancer
SRR2105189	Colorectal Cancer
SRR2105190	Colorectal Cancer
SRR2105191	Colorectal Cancer
SRR2105192	Colorectal Cancer
SRR2105193	Colorectal Cancer
SRR2105194	Colorectal Cancer
SRR2105195	Colorectal Cancer
SRR2105196	Colorectal Cancer
SRR2105197	Colorectal Cancer
SRR2105198	Colorectal Cancer
SRR2105199	Colorectal Cancer
SRR2105200	Colorectal Cancer
SRR2105201	Colorectal Cancer
SRR2105202	Colorectal Cancer
SRR2105203	Colorectal Cancer
SRR2105204	Colorectal Cancer
SRR2105205	Colorectal Cancer
SRR2105206	Colorectal Cancer
SRR2105207	Healthy Control
SRR2105208	Healthy Control
SRR2105209	Healthy Control
SRR2105210	Healthy Control
SRR2105211	Healthy Control
SRR2105212	Healthy Control
SRR2105213	Healthy Control
SRR2105214	Healthy Control
SRR2105215	Healthy Control
SRR2105216	Healthy Control
SRR2105217	Healthy Control
SRR2105218	Healthy Control
SRR2105219	Healthy Control
SRR2105220	Healthy Control
SRR2105221	Healthy Control
SRR2105222	Healthy Control
SRR2105223	Colorectal Cancer
SRR2105224	Colorectal Cancer
SRR2105225	Colorectal Cancer
SRR2105226	Colorectal Cancer
SRR2105227	Colorectal Cancer
SRR2105228	Colorectal Cancer
SRR2105229	Colorectal Cancer
SRR2105230	Colorectal Cancer
SRR2105231	Colorectal Cancer
SRR2105232	Colorectal Cancer
SRR2105233	Colorectal Cancer
SRR2105234	Colorectal Cancer
SRR2105235	Colorectal Cancer
SRR2105236	Colorectal Cancer
SRR2105237	Colorectal Cancer
SRR2105238	Colorectal Cancer
SRR2105239	Healthy Control
SRR2105240	Healthy Control
SRR2105241	Healthy Control
SRR2105242	Healthy Control
SRR2105243	Healthy Control
SRR2105244	Healthy Control
SRR2105245	Healthy Control
SRR2105246	Healthy Control
SRR2105247	Healthy Control
SRR2105248	Healthy Control
SRR2105249	Healthy Control
SRR2105250	Healthy Control
SRR2105251	Healthy Control
SRR2105252	Healthy Control
SRR2105253	Healthy Control
SRR2105254	Healthy Control
SRR2105255	Prostate Cancer
SRR2105256	Prostate Cancer
SRR2105257	Prostate Cancer
SRR2105258	Prostate Cancer
SRR2105259	Prostate Cancer
SRR2105260	Prostate Cancer
SRR2105261	Prostate Cancer
SRR2105262	Prostate Cancer
SRR2105263	Prostate Cancer
SRR2105264	Prostate Cancer
SRR2105265	Prostate Cancer
SRR2105266	Prostate Cancer
SRR2105267	Prostate Cancer
SRR2105268	Prostate Cancer
SRR2105269	Prostate Cancer
SRR2105270	Prostate Cancer
SRR2105271	Colorectal Cancer
SRR2105272	Colorectal Cancer
SRR2105273	Colorectal Cancer
SRR2105274	Colorectal Cancer
SRR2105275	Colorectal Cancer
SRR2105276	Colorectal Cancer
SRR2105277	Colorectal Cancer
SRR2105278	Colorectal Cancer
SRR2105279	Colorectal Cancer
SRR2105280	Colorectal Cancer
SRR2105281	Colorectal Cancer
SRR2105282	Colorectal Cancer
SRR2105283	Colorectal Cancer
SRR2105284	Colorectal Cancer
SRR2105285	Colorectal Cancer
SRR2105286	Colorectal Cancer
SRR2105287	Healthy Control
SRR2105288	Healthy Control
SRR2105289	Healthy Control
SRR2105290	Healthy Control
SRR2105291	Healthy Control
SRR2105292	Healthy Control
SRR2105293	Healthy Control
SRR2105294	Healthy Control
SRR2105295	Healthy Control
SRR2105296	Healthy Control
SRR2105297	Healthy Control
SRR2105298	Healthy Control
SRR2105299	Healthy Control
SRR2105300	Healthy Control
SRR2105301	Healthy Control
SRR2105302	Healthy Control
SRR2105303	Pancreatic Cancer
SRR2105304	Pancreatic Cancer
SRR2105305	Prostate Cancer
SRR2105306	Prostate Cancer
SRR2105307	Prostate Cancer
SRR2105308	Prostate Cancer
SRR2105309	Prostate Cancer
SRR2105310	Prostate Cancer
SRR2105311	Prostate Cancer
SRR2105312	Prostate Cancer
SRR2105313	Prostate Cancer
SRR2105314	Prostate Cancer
SRR2105315	Prostate Cancer
SRR2105316	Prostate Cancer
SRR2105317	Prostate Cancer
SRR2105318	Prostate Cancer
SRR2105319	Colorectal Cancer
SRR2105320	Colorectal Cancer
SRR2105321	Colorectal Cancer
SRR2105322	Colorectal Cancer
SRR2105323	Colorectal Cancer
SRR2105324	Colorectal Cancer
SRR2105325	Colorectal Cancer
SRR2105326	Colorectal Cancer
SRR2105327	Colorectal Cancer
SRR2105328	Colorectal Cancer
SRR2105329	Colorectal Cancer
SRR2105330	Colorectal Cancer
SRR2105331	Colorectal Cancer
SRR2105332	Colorectal Cancer
SRR2105333	Colorectal Cancer
SRR2105334	Colorectal Cancer
SRR2105335	Healthy Control
SRR2105336	Healthy Control
SRR2105337	Healthy Control
SRR2105338	Healthy Control
SRR2105339	Healthy Control
SRR2105340	Healthy Control
SRR2105341	Healthy Control
SRR2105342	Healthy Control
SRR2105343	Healthy Control
SRR2105344	Healthy Control
SRR2105345	Healthy Control
SRR2105346	Healthy Control
SRR2105347	Healthy Control
SRR2105348	Healthy Control
SRR2105349	Healthy Control
SRR2105350	Healthy Control
SRR2105351	Pancreatic Cancer
SRR2105352	Pancreatic Cancer
SRR2105353	Prostate Cancer
SRR2105354	Prostate Cancer
SRR2105355	Prostate Cancer
SRR2105356	Prostate Cancer
SRR2105357	Prostate Cancer
SRR2105358	Prostate Cancer
SRR2105359	Prostate Cancer
SRR2105360	Prostate Cancer
SRR2105361	Prostate Cancer
SRR2105362	Prostate Cancer
SRR2105363	Prostate Cancer
SRR2105364	Prostate Cancer
SRR2105365	Prostate Cancer
SRR2105366	Prostate Cancer
SRR2105367	Colorectal Cancer
SRR2105368	Colorectal Cancer
SRR2105369	Colorectal Cancer
SRR2105370	Colorectal Cancer
SRR2105371	Colorectal Cancer
SRR2105372	Colorectal Cancer
SRR2105373	Colorectal Cancer
SRR2105374	Colorectal Cancer
SRR2105375	Colorectal Cancer
SRR2105376	Colorectal Cancer
SRR2105377	Colorectal Cancer
SRR2105378	Colorectal Cancer
SRR2105379	Colorectal Cancer
SRR2105380	Colorectal Cancer
SRR2105381	Colorectal Cancer
SRR2105382	Colorectal Cancer
SRR2105383	Colorectal Cancer
SRR2105384	Colorectal Cancer
SRR2105385	Healthy Control
SRR2105386	Healthy Control
SRR2105387	Healthy Control
SRR2105388	Healthy Control
SRR2105389	Healthy Control
SRR2105390	Healthy Control
SRR2105391	Healthy Control
SRR2105392	Healthy Control
SRR2105393	Healthy Control
SRR2105394	Healthy Control
SRR2105395	Healthy Control
SRR2105396	Healthy Control
SRR2105397	Healthy Control
SRR2105398	Healthy Control
SRR2105399	Healthy Control
SRR2105400	Healthy Control
SRR2105401	Pancreatic Cancer
SRR2105402	Pancreatic Cancer
SRR2105403	Prostate Cancer
SRR2105404	Prostate Cancer
SRR2105405	Prostate Cancer
SRR2105406	Prostate Cancer
SRR2105407	Prostate Cancer
SRR2105408	Prostate Cancer
SRR2105409	Prostate Cancer
SRR2105410	Prostate Cancer
SRR2105411	Prostate Cancer
SRR2105412	Prostate Cancer
SRR2105413	Prostate Cancer
SRR2105414	Prostate Cancer
SRR2105415	Colorectal Cancer
SRR2105416	Colorectal Cancer
SRR2105417	Colorectal Cancer
SRR2105418	Colorectal Cancer
SRR2105419	Colorectal Cancer
SRR2105420	Colorectal Cancer
SRR2105421	Colorectal Cancer
SRR2105422	Colorectal Cancer
SRR2105423	Colorectal Cancer
SRR2105424	Colorectal Cancer
SRR2105425	Colorectal Cancer
SRR2105426	Colorectal Cancer
SRR2105427	Colorectal Cancer
SRR2105428	Colorectal Cancer
SRR2105429	Colorectal Cancer
SRR2105430	Colorectal Cancer
SRR2105431	Colorectal Cancer
SRR2105432	Colorectal Cancer
SRR2105433	Colorectal Cancer
SRR2105434	Colorectal Cancer
SRR2105435	Colorectal Cancer
SRR2105436	Colorectal Cancer
SRR2105437	Colorectal Cancer
SRR2105438	Colorectal Cancer
SRR2105439	Colorectal Cancer
SRR2105440	Colorectal Cancer
SRR2105441	Colorectal Cancer
SRR2105442	Colorectal Cancer
SRR2105443	Colorectal Cancer
SRR2105444	Colorectal Cancer
SRR2105445	Colorectal Cancer
SRR2105446	Colorectal Cancer
SRR2105447	Colorectal Cancer
SRR2105448	Colorectal Cancer
SRR2105449	Healthy Control
SRR2105450	Healthy Control
SRR2105451	Pancreatic Cancer
