sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC	mir_dup_ratio	mir_rmdup_num	QCrankSum
SAMN03863387	5e+06	942818	0.1237728	0.2295506	3.34e-05	0.0044102	0.2162356	0.017532	0.0046438	0.2506526	0.0001848	0.003866	4.76e-05	0.1067442	0.0020298	0.0105834	0.0028208	0.0041284	0.0030488	0.0022428	0.0061468	0.0068132	0.0020634	0.002449	TRUE	0.998405442952039	1724	412
SAMN03863388	5e+06	1073992	0.108841	0.2645384	4e-05	0.0148326	0.326699	0.019023	0.007123	0.1573468	0.0002216	0.0075308	5.82e-05	0.04518	0.0029776	0.0098978	0.0037558	0.0059388	0.00427	0.0024542	0.0081808	0.0061672	0.0021696	0.0027538	TRUE	0.998699720537865	2124	489
SAMN03863389	5e+06	1133282	0.1626462	0.2048326	6.3e-05	0.0308608	0.3730482	0.0178238	0.008396	0.1056428	0.000212	0.0076918	5.04e-05	0.021972	0.0036178	0.0106696	0.0056008	0.0081268	0.0063018	0.0040634	0.012087	0.0094098	0.0034942	0.0033892	TRUE	0.998785143581982	2266	288
SAMN03863390	5e+06	1018136	0.1578234	0.2515056	0.0001018	0.0412112	0.253849	0.0183758	0.0101328	0.1486282	0.0002068	0.0042132	6.96e-05	0.0421156	0.0042248	0.0124452	0.0059172	0.0092272	0.0060856	0.004007	0.01253	0.0098512	0.0035602	0.0039186	TRUE	0.99844316897053	1976	673
SAMN03863391	5e+06	967725	0.0877962	0.2412662	2.18e-05	0.0106336	0.2257298	0.0191638	0.0039486	0.2561822	0.0001896	0.0038734	3.82e-05	0.118766	0.001572	0.0109712	0.0016456	0.002475	0.0020086	0.0015902	0.0037784	0.0055176	0.0012	0.001632	TRUE	0.998301509149434	1917	374
SAMN03863392	5e+06	858608	0.1109598	0.2235978	3.1e-05	0.0415684	0.1940132	0.024689	0.0046566	0.2502948	0.0001842	0.003303	3.72e-05	0.108374	0.001945	0.0110704	0.0024804	0.0039268	0.0027712	0.0021	0.0052188	0.0050098	0.0018678	0.0019008	TRUE	0.998147548723489	1797	565
SAMN03863393	5e+06	953621	0.1102516	0.16854	2.34e-05	0.015649	0.2337884	0.023366	0.0043072	0.2822412	0.0001328	0.0024872	3.6e-05	0.117967	0.0018326	0.012954	0.0027904	0.0041618	0.0027636	0.0020694	0.0054992	0.0049466	0.001993	0.0021996	TRUE	0.998424216085999	1842	310
SAMN03863394	5e+06	1054193	0.1093182	0.155212	3.14e-05	0.0125886	0.2958774	0.0251262	0.0044806	0.2569638	0.0001578	0.0034018	3.26e-05	0.093977	0.0019396	0.0140564	0.0030382	0.0044084	0.0030028	0.0020706	0.0057944	0.0043652	0.0021354	0.0020216	TRUE	0.998601447761809	2069	432
SAMN03863395	5e+06	968626	0.072313	0.1966132	1.48e-05	0.009856	0.2550402	0.0264618	0.0027582	0.298063	0.000216	0.0044744	3.26e-05	0.1079998	0.00115	0.013221	0.0010272	0.0016396	0.0011762	0.0010428	0.0022564	0.0024656	0.0009752	0.001203	TRUE	0.998464555783755	1958	616
SAMN03863396	5e+06	1118493	0.1050258	0.2310198	3.54e-05	0.0131618	0.3331684	0.0204738	0.0057196	0.1788314	0.000203	0.006762	5.02e-05	0.0625974	0.0024786	0.0118016	0.0029278	0.0045822	0.0033772	0.0020218	0.0066286	0.0049076	0.001916	0.00231	TRUE	0.998710561986071	2148	545
SAMN03863397	5e+06	1072563	0.1131014	0.230241	4.36e-05	0.0081542	0.3021932	0.0211768	0.006084	0.1883494	0.0002204	0.00686	5.02e-05	0.0777172	0.00269	0.009784	0.0036296	0.005418	0.0037748	0.0024986	0.0074968	0.0058592	0.0021968	0.0024608	TRUE	0.998606189682627	2106	591
SAMN03863398	5e+06	1150308	0.1328736	0.2263852	7.76e-05	0.021762	0.3654612	0.017783	0.0081984	0.12169	0.0002014	0.0044132	6.2e-05	0.0399568	0.0035746	0.0129424	0.0048346	0.0076242	0.005209	0.0031722	0.0103944	0.0072826	0.002993	0.0031086	TRUE	0.998828877046319	2140	567
SAMN03863399	5e+06	1120415	0.1192476	0.2430212	4.48e-05	0.0509434	0.3393966	0.0163616	0.0073474	0.1329714	0.0001782	0.004037	4.92e-05	0.0361856	0.0031316	0.0088104	0.0040302	0.0064768	0.004548	0.0026232	0.0091224	0.0063138	0.0023696	0.00279	TRUE	0.998792563036872	2049	520
SAMN03863400	5e+06	905927	0.1062944	0.1636124	2.5e-05	0.032614	0.210303	0.0275352	0.0036694	0.2735862	0.0001672	0.0028128	2.74e-05	0.1486188	0.0015082	0.0074932	0.0023108	0.0032934	0.0021738	0.0017152	0.0044576	0.0041962	0.0017524	0.0018334	TRUE	0.998244437787383	1846	397
SAMN03863401	5e+06	909784	0.13533	0.191747	2.94e-05	0.0078956	0.201298	0.0259706	0.0046048	0.2602588	0.0001412	0.0030282	3.68e-05	0.126723	0.0019722	0.0107782	0.0032432	0.0046502	0.0031322	0.0024048	0.0063742	0.0055928	0.0023854	0.0024034	TRUE	0.998143051595147	1869	598
SAMN03863402	5e+06	1080732	0.0956978	0.2000976	4.08e-05	0.0217654	0.2959684	0.0205902	0.0045696	0.2371428	0.0002334	0.0032882	3.26e-05	0.0784036	0.0019906	0.0159648	0.0024492	0.0038088	0.0027744	0.0019414	0.005245	0.0044298	0.0018074	0.0017582	TRUE	0.998497136856502	2224	364
