sample	group
CRC-2211756_smart	smart
CRC-2211756_smart_PNK	smart_PNK
CRC-2375423_smart	smart
CRC-2375900_smart	smart
CRC-2380493_smart	smart
CRC-2382307_smart	smart
CRC-2382307_smart_PNK	smart_PNK
CRC-2384226_smart_PNK	smart_PNK
CRC-2384277_smart_PNK	smart_PNK
CRC-2389216_smart	smart
CRC-2389216_smart_PNK	smart_PNK
CRC-2389315_smart	smart
CRC-2389315_smart_PNK	smart_PNK
CRC-2390804_smart	smart
CRC-2390804_smart_PNK	smart_PNK
CRC-2392154_smart	smart
CRC-2392154_smart_PNK	smart_PNK
CRC-2393856_smart	smart
CRC-2393856_smart_PNK	smart_PNK
CRC-2396425_smart	smart
CRC-2396425_smart_PNK	smart_PNK
CRC-2405110_smart	smart
CRC-2405110_smart_PNK	smart_PNK
NC_ChQ-13_smart	smart
NC_ChQ-15_smart	smart
NC_ChQ-21_smart	smart
NC_ChQ-22_smart	smart
NC_ChQ-23_smart	smart
NC_ChQ-25_smart	smart
NC_ChQ-28_smart	smart
NC_ChQ-41_smart	smart
NC_ChQ-42_smart	smart
NC_ChQ-45_smart	smart
NC_ChQ-49_smart	smart
NC_ChQ-58_smart	smart
NC_PKU-2392860_smart	smart
NC_PKU-2392860_smart_PNK	smart_PNK
NC_PKU-2397512_smart	smart
NC_PKU-2397512_smart_PNK	smart_PNK
NC_PKU-34_smart	smart
NC_PKU-34_smart_PNK	smart_PNK
NC_PKU-50_smart	smart
NC_PKU-50_smart_PNK	smart_PNK
CRC-2211756_NEB	NEB
CRC-2211756_NEB_PNK	NEB_PNK
CRC-2328374_NEB	NEB
CRC-2329946_NEB	NEB
CRC-2334403_NEB	NEB
CRC-2375612_NEB	NEB
CRC-2382274_NEB	NEB
CRC-2382274_NEB_PNK	NEB_PNK
CRC-2382711_NEB	NEB
CRC-2382711_NEB_PNK	NEB_PNK
CRC-2384076_NEB_PNK	NEB_PNK
CRC-2389216_NEB	NEB
CRC-2389216_NEB_PNK	NEB_PNK
CRC-2389315_NEB	NEB
CRC-2389315_NEB_PNK	NEB_PNK
CRC-2392154_NEB	NEB
CRC-2393856_NEB	NEB
CRC-2393856_NEB_PNK	NEB_PNK
CRC-2396425_NEB	NEB
CRC-2396425_NEB_PNK	NEB_PNK
CRC-2405110_NEB	NEB
CRC-2405110_NEB_PNK	NEB_PNK
NC_PKU-2392860	NEB
NC_PKU-2397512	NEB
NC_PKU-34	NEB
NC_PKU-50	NEB
