sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC
SRR10080437	5e+06	1830038	0.4631708	0.0945438	0	0.0003184	1.8e-06	0.0515458	0.297876	0	3.48e-05	0.0003592	1.58e-05	4.96e-05	0.0015492	3.26e-05	0.0164684	0.0136556	0.004893	0.0082262	0.0254394	0.0183146	0.0022638	0.0012412	TRUE
SRR10080438	6189174	1908621	0.502950797634709	0.114115389226414	0	0.000341887301924296	1.2925795913962e-06	0.0812976012631088	0.201553874555797	1.61572448924525e-07	2.32664326451316e-05	0.000615591030402441	2.48821571343769e-05	4.60481479434897e-05	0.000933242464988058	4.84717346773576e-05	0.0102659902597665	0.00776517189531269	0.0066789203211931	0.0117553650939528	0.0326179228439853	0.0263246759583751	0.00153364568519159	0.00110580184043945	TRUE
SRR10080439	5e+06	1890344	0.4718214	0.0932634	4e-07	0.000288	4e-07	0.1080462	0.206406	4e-07	2.08e-05	0.0005918	3.58e-05	6.18e-05	0.001397	4.16e-05	0.0066418	0.0078158	0.0090144	0.015098	0.0419468	0.0345696	0.0017622	0.0011764	TRUE
SRR10080440	5e+06	2087488	0.460646	0.0335048	0	0.000346	1.8e-06	0.0548744	0.3313334	4e-07	1.06e-05	0.0002718	1.56e-05	3.34e-05	0.0013686	2.98e-05	0.0491874	0.0220396	0.0034372	0.006153	0.0198402	0.014795	0.0015372	0.0005738	TRUE
SRR10080441	5564535	720102	0.791205374752787	0.000243326711036951	0	0.000690803454376691	5.39128606433422e-07	0.0114719379067613	0.003737059790261	0	0	1.52753105156136e-05	1.41970533027468e-05	0	0.00106280219281575	0	0.0056400040614355	0.0569048446995122	0.00851571604815137	0.0102651883760278	0.0295676098721636	0.0754627295901634	0.00111186289600119	0.00409072815608133	TRUE
SRR10080442	5e+06	1237954	0.590983	0.0006356	0	0.0007808	5.14e-05	0.0190108	0.0072114	0	0	0.0001062	4.78e-05	0	0.0107408	6e-07	0.0139244	0.1141072	0.0171974	0.018651	0.0576928	0.0993546	0.0429646	0.0065396	TRUE
SRR10080443	6138229	1362117	0.683839589562397	0.000636665722311761	0	0.000680163610709213	1.14039407783581e-06	0.0221187577068239	0.0123281487217241	0	1.46622095721746e-06	1.15668542180489e-05	2.39482756345519e-05	0	0.00216055803717978	8.14567198454147e-07	0.00976307661379202	0.0651772685574292	0.0130469228176401	0.015507241583851	0.0494430885520889	0.113212133336831	0.00371963965502102	0.00832780921011582	TRUE
SRR10080444	5e+06	1633159	0.5812332	0.0420744	0	0.0001038	4e-07	0.0627922	0.2365884	6e-07	1.9e-05	0.0004944	1.02e-05	2.3e-05	0.0012756	2.38e-05	0.012836	0.0124142	0.003963	0.0067646	0.0215698	0.0158838	0.0012784	0.0006512	TRUE
SRR10080445	5e+06	2004172	0.4265044	0.0573444	2e-07	0.0003276	2e-06	0.0594952	0.354347	0	4.4e-06	0.000153	1.74e-05	3.44e-05	0.0010114	3.9e-05	0.023044	0.024038	0.0040504	0.0073972	0.0213852	0.0187342	0.001496	0.0005746	TRUE
SRR10080446	7597906	2121704	0.578319737043338	0.000300477526307906	0	0.000131878441244206	6.58076054112804e-06	0.0154642608108076	0.0276714399993893	0	6.58076054112804e-07	2.86921159593183e-05	1.80312838826908e-05	0	0.00123942044031606	0	0.0064200583687137	0.220261082461404	0.0120747742864942	0.0123253696479004	0.0389598134012187	0.0809550684096381	0.00130233251108924	0.00452032441570085	TRUE
