sample,group
SRR13274576,adipocyte
SRR13274577,thyroid
SRR13274579,esophagus
SRR13274582,skin
SRR13274585,glandular breast tissue
SRR13274592,bone
SRR13274596,brain
SRR13274598,skin
SRR13274606,urethra
SRR13274608,nerve
SRR13274624,bowel-small intestine
SRR13274625,bone
SRR13274637,nerve
SRR13274641,adipocyte
SRR13274649,pancreas
SRR13274660,artery
SRR13274668,pancreas
SRR13274671,kidney-cortex
SRR13274673,prostate
SRR13274676,lung
SRR13274681,artery
SRR13274682,testis
SRR13274683,stomach
SRR13274684,esophagus
SRR13274686,liver
SRR13274691,lung
SRR13274694,pancreas
SRR13274695,liver
SRR13274701,testis
SRR13274709,bone
SRR13274717,thyroid
SRR13274720,testis
SRR13274724,artery
SRR13274744,testis
SRR13274746,pancreas
SRR13274755,pancreas
SRR13274756,bone
SRR13274759,liver
SRR13274655,vein
SRR13274622,nerve
SRR13274725,lung
SRR13274583,muscle
SRR13274587,nerve
SRR13274635,lung
SRR13274640,bowel-small intestine
SRR13274669,liver
SRR13274689,kidney
SRR13274739,bladder
SRR13274758,spleen
SRR13274595,thyroid
SRR13274602,adipocyte
SRR13274614,bowel-colon
SRR13274656,vein
SRR13274696,muscle
SRR13274613,muscle
SRR13274580,adipocyte
SRR13274601,stomach
SRR13274604,liver
SRR13274661,esophagus
SRR13274670,bowel-small intestine
SRR13274716,adrenal gland
SRR13274740,esophagus
SRR13274589,gallbladder
SRR13274593,vein
SRR13274600,stomach
SRR13274621,skin
SRR13274638,lung
SRR13274678,bladder
SRR13274713,skin
SRR13274590,bowel-colon
SRR13274611,bladder
SRR13274680,lymph node
SRR13274734,muscle
SRR13274742,gallbladder
SRR13274648,lung
SRR13274690,stomach
SRR13274726,kidney
SRR13274653,artery
SRR13274712,kidney
SRR13274753,kidney
SRR13274603,bowel-colon
SRR13274747,spleen
SRR13274619,bowel-colon
SRR13274714,kidney
SRR13274715,adrenal gland
SRR13274628,nerve
SRR13274662,liver
SRR13274693,nerve
SRR13274760,esophagus
SRR13274659,bowel-colon
SRR13274735,bladder
SRR13274578,artery
SRR13274679,adipocyte
SRR13274736,liver
SRR13274685,lymph node
SRR13274729,stomach
SRR13274605,stomach
SRR13274633,pancreas
SRR13274750,kidney
SRR13274752,bowel-small intestine
SRR13274631,bone
SRR13274757,bowel-colon
SRR13274687,spleen
SRR13274706,skin
SRR13274588,vein
SRR13274697,skin
SRR13274651,uterus
SRR13274704,spleen
SRR13274612,thyroid
SRR13274674,lymph node
SRR13274646,artery
SRR13274710,nerve
