accession	AvgSpotLen	Developmental_Stage	Instrument	LibraryLayout	LibrarySelection	sex	source_name	strain	tissue
SRR13274576	50	adult	BGISEQ-500	SINGLE	size fractionation	male	adipocyte_2	Not applicable	adipocyte
SRR13274577	50	adult	BGISEQ-500	SINGLE	size fractionation	female	thyroid_5	Not applicable	thyroid
SRR13274579	50	adult	BGISEQ-500	SINGLE	size fractionation	male	esophagus_2	Not applicable	esophagus
SRR13274582	50	adult	BGISEQ-500	SINGLE	size fractionation	male	skin_1	Not applicable	skin
SRR13274585	50	adult	BGISEQ-500	SINGLE	size fractionation	female	glandular breast tissue_5	Not applicable	glandular breast tissue
SRR13274591	50	adult	BGISEQ-500	SINGLE	size fractionation	female	heart-atrial appendage_3	Not applicable	heart-atrial appendage
SRR13274592	50	adult	BGISEQ-500	SINGLE	size fractionation	female	bone_3	Not applicable	bone
SRR13274594	50	adult	BGISEQ-500	SINGLE	size fractionation	male	heart-ventricle_4 (1)	Not applicable	heart-ventricle
SRR13274596	50	adult	BGISEQ-500	SINGLE	size fractionation	male	brain_6	Not applicable	brain
SRR13274598	50	adult	BGISEQ-500	SINGLE	size fractionation	male	skin_2	Not applicable	skin
SRR13274606	50	adult	BGISEQ-500	SINGLE	size fractionation	male	urethra_4	Not applicable	urethra
SRR13274608	50	adult	BGISEQ-500	SINGLE	size fractionation	female	nerve_3 (1)	Not applicable	nerve
SRR13274610	50	adult	BGISEQ-500	SINGLE	size fractionation	male	heart-muscle_2	Not applicable	heart-muscle
SRR13274615	50	adult	BGISEQ-500	SINGLE	size fractionation	female	heart-pericardium_5	Not applicable	heart-pericardium
SRR13274616	50	adult	BGISEQ-500	SINGLE	size fractionation	female	spinal cord_3	Not applicable	spinal cord
SRR13274620	50	adult	BGISEQ-500	SINGLE	size fractionation	male	heart-ventricle_4 (2)	Not applicable	heart-ventricle
SRR13274623	50	adult	BGISEQ-500	SINGLE	size fractionation	male	submandibular gland_2	Not applicable	submandibular gland
