sample,group
SRR13274577,thyroid
SRR13274579,esophagus
SRR13274592,bone
SRR13274625,bone
SRR13274649,pancreas
SRR13274660,artery
SRR13274668,pancreas
SRR13274673,prostate
SRR13274676,lung
SRR13274681,artery
SRR13274683,stomach
SRR13274684,esophagus
SRR13274686,liver
SRR13274691,lung
SRR13274694,pancreas
SRR13274695,liver
SRR13274709,bone
SRR13274717,thyroid
SRR13274724,artery
SRR13274746,pancreas
SRR13274755,pancreas
SRR13274756,bone
SRR13274759,liver
SRR13274655,vein
SRR13274725,lung
SRR13274635,lung
SRR13274669,liver
SRR13274689,kidney
SRR13274739,bladder
SRR13274758,spleen
SRR13274595,thyroid
SRR13274614,bowel-colon
SRR13274656,vein
SRR13274601,stomach
SRR13274604,liver
SRR13274661,esophagus
SRR13274740,esophagus
SRR13274593,vein
SRR13274600,stomach
SRR13274638,lung
SRR13274678,bladder
SRR13274590,bowel-colon
SRR13274611,bladder
SRR13274680,lymph node
SRR13274648,lung
SRR13274690,stomach
SRR13274726,kidney
SRR13274653,artery
SRR13274712,kidney
SRR13274753,kidney
SRR13274603,bowel-colon
SRR13274747,spleen
SRR13274619,bowel-colon
SRR13274714,kidney
SRR13274662,liver
SRR13274760,esophagus
SRR13274659,bowel-colon
SRR13274735,bladder
SRR13274578,artery
SRR13274736,liver
SRR13274685,lymph node
SRR13274729,stomach
SRR13274605,stomach
SRR13274633,pancreas
SRR13274750,kidney
SRR13274631,bone
SRR13274757,bowel-colon
SRR13274687,spleen
SRR13274588,vein
SRR13274704,spleen
SRR13274612,thyroid
SRR13274674,lymph node
SRR13274646,artery
