Run	Treatment	Replicate_number	Sample_id
SRR8526835	none	1	ULMC123
SRR8526836	none	2	ULMC123
SRR8526837	none	3	ULMC123
SRR8526838	none	1	ULMC134
SRR8526839	none	2	ULMC134
SRR8526840	none	3	ULMC134
SRR8526841	none	1	ULMC135
SRR8526842	none	2	ULMC135
SRR8526843	none	3	ULMC135
SRR8526844	none	1	ULMC148
SRR8526845	none	2	ULMC148
SRR8526846	none	3	ULMC148
SRR8526847	none	1	ULMC157
SRR8526848	none	2	ULMC157
SRR8526849	none	3	ULMC157
SRR8526850	T4PNK	1	ULMC123
SRR8526851	T4PNK	2	ULMC123
SRR8526852	T4PNK	3	ULMC123
SRR8526853	T4PNK	1	ULMC134
SRR8526854	T4PNK	2	ULMC134
SRR8526855	T4PNK	3	ULMC134
SRR8526856	T4PNK	1	ULMC135
SRR8526857	T4PNK	2	ULMC135
SRR8526858	T4PNK	3	ULMC135
SRR8526859	T4PNK	1	ULMC148
SRR8526860	T4PNK	2	ULMC148
SRR8526861	T4PNK	3	ULMC148
SRR8526862	T4PNK	1	ULMC157
SRR8526863	T4PNK	2	ULMC157
SRR8526864	T4PNK	3	ULMC157
