File Name	Project ID	Sample Type
TCGA-A6-2671-01A-01T-1409-13_mirna_gdc_realn.bam	TCGA-COAD	Primary Tumor
TCGA-A6-2671-11A-01R-1757-13_mirna_gdc_realn.bam	TCGA-COAD	Solid Tissue Normal
TCGA-A6-2680-01A-01T-1409-13_mirna_gdc_realn.bam	TCGA-COAD	Primary Tumor
TCGA-A6-2680-11A-01R-1757-13_mirna_gdc_realn.bam	TCGA-COAD	Solid Tissue Normal
TCGA-A6-2683-11A-01R-1757-13_mirna_gdc_realn.bam	TCGA-COAD	Solid Tissue Normal
TCGA-A6-2683-01A-01T-0822-13_mirna_gdc_realn.bam	TCGA-COAD	Primary Tumor
TCGA-A6-2684-01A-01T-1409-13_mirna_gdc_realn.bam	TCGA-COAD	Primary Tumor
TCGA-A6-2684-11A-01R-1757-13_mirna_gdc_realn.bam	TCGA-COAD	Solid Tissue Normal
TCGA-A6-2685-11A-01R-1757-13_mirna_gdc_realn.bam	TCGA-COAD	Solid Tissue Normal
TCGA-A6-2685-01A-01T-1409-13_mirna_gdc_realn.bam	TCGA-COAD	Primary Tumor
TCGA-AA-3520-01A-01T-0822-13_GRCh37-lite_mirna_gdc_realn.bam	TCGA-COAD	Primary Tumor
TCGA-AA-3520-11A-01R-1757-13_mirna_gdc_realn.bam	TCGA-COAD	Solid Tissue Normal
TCGA-AA-3525-11A-01R-1757-13_mirna_gdc_realn.bam	TCGA-COAD	Solid Tissue Normal
TCGA-AA-3525-01A-02T-0827-13_mirna_gdc_realn.bam	TCGA-COAD	Primary Tumor
TCGA-AA-3527-01A-01T-0822-13_mirna_gdc_realn.bam	TCGA-COAD	Primary Tumor
TCGA-AA-3527-11A-01R-1757-13_mirna_gdc_realn.bam	TCGA-COAD	Solid Tissue Normal
