File Name	Project ID	Sample Type
TCGA-BC-A10Q-01A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-BC-A10Q-11A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-BC-A10R-11A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-BC-A10R-01A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-BC-A10T-11A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-BC-A10T-01A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-BC-A10U-01A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-BC-A10U-11A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-BC-A10W-11A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-BC-A10W-01A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-BC-A10X-01A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-BC-A10X-11A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-BC-A10Y-11A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-BC-A10Y-01A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-BC-A10Z-11A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-BC-A10Z-01A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-BC-A110-01A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-BC-A110-11A-11R-A130-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-BC-A216-01A-11R-A154-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-BC-A216-11A-11R-A154-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
