File Name	Project ID	Sample Type
TCGA-22-4609-01A-21H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-22-4609-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-22-5472-01A-01T-1634-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-22-5472-11A-11H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-22-5478-11A-11H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-22-5478-01A-01T-1634-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-22-5483-01A-01T-1819-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-22-5483-11A-11H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-33-4587-01A-11H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-33-4587-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-33-6737-01A-11H-1819-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-33-6737-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-34-7107-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-34-7107-01A-11H-1948-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-34-8454-11A-01H-2325-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-34-8454-01A-11H-2325-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-34-8456-11A-01H-2325-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-34-8456-01A-21H-2325-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-39-5040-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-39-5040-01A-21H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-43-5670-01A-21H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-43-5670-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-43-6143-01A-11H-1819-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-43-6143-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-43-6771-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-43-6771-01A-11H-1819-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-43-6773-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-43-6773-01A-41H-1948-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-43-7657-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-43-7657-01A-31H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-43-7658-11A-01H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Solid Tissue Normal
TCGA-43-7658-01A-11H-2124-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
TCGA-56-7222-01A-11H-2044-13_mirna_gdc_realn.bam	TCGA-LUSC	Primary Tumor
