File Name	Project ID	Sample Type
TCGA-BR-6453-11A-01R-1802-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-6453-01A-11R-1802-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-6454-01A-11R-1802-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-6454-11A-01R-1802-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-6457-01A-21R-1802-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-6457-11A-01R-1802-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-6458-11A-01R-1802-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-6458-01A-11R-1802-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-6564-01A-12R-1884-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-6564-11A-01R-1884-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-6802-01A-11R-1884-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-6802-11A-01R-1884-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-6852-01A-11R-1884-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-6852-11A-01R-1884-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-7703-11A-01R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-7703-01A-11R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-7704-01A-11R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-7704-11A-01R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-7715-01A-11R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-7715-11A-01R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-7716-01A-21R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-7716-11A-01R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-7717-01A-11R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-7717-11A-01R-2055-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-7851-11A-01R-2203-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-7851-01A-11R-2203-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-BR-8060-11A-01R-2343-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-BR-8060-01A-11R-2343-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-CG-5720-11A-01R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-CG-5720-01A-11R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-CG-5721-11A-01R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-CG-5721-01A-11R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-CG-5722-11A-02R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-CG-5722-01A-21R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-CG-5725-01A-11R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-CG-5725-11A-01R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-CG-5728-11A-01R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-CG-5728-01A-11R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-CG-5730-01A-11R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
TCGA-CG-5730-11A-01R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Solid Tissue Normal
TCGA-CG-5733-01A-11R-1602-13_mirna_gdc_realn.bam	TCGA-STAD	Primary Tumor
