Run	Age	Assay Type	AvgSpotLen	Bases	BIOMATERIAL_PROVIDER	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	health_state	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	Sample_Type	sex	SRA Study	Tissue	Treatment
SRR12047399	NA	RNA-Seq	150	4072436700	Innovative Research	PRJNA640428	SAMN15317939	Human	1762018798	UNIVERSITY OF TEXAS AT AUSTIN	public	sra,fastq	s3,gs	s3.us-east-1,gs.US	SRX8576017	Healthy	NextSeq 500	NA	Qcf11	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	DNaseI_10	Plasma	NA	SRP267900	Plasma	DNase I treatment: replicate 10
SRR12047400	NA	RNA-Seq	150	2148234900	Innovative Research	PRJNA640428	SAMN15317938	Human	1051439035	UNIVERSITY OF TEXAS AT AUSTIN	public	sra,fastq	gs,s3	gs.US,s3.us-east-1	SRX8576016	Healthy	NextSeq 500	NA	Qcf10	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	DNaseI_9	Plasma	NA	SRP267900	Plasma	DNase I treatment: replicate 9
SRR12047401	NA	RNA-Seq	150	1735846500	Innovative Research	PRJNA640428	SAMN15317937	Human	850248544	UNIVERSITY OF TEXAS AT AUSTIN	public	fastq,sra	s3,gs	gs.US,s3.us-east-1	SRX8576015	Healthy	NextSeq 500	NA	Qcf9	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	DNaseI_8	Plasma	NA	SRP267900	Plasma	DNase I treatment: replicate 8
SRR12047402	NA	RNA-Seq	150	1864264350	Innovative Research	PRJNA640428	SAMN15317936	Human	915675612	UNIVERSITY OF TEXAS AT AUSTIN	public	fastq,sra	gs,s3	gs.US,s3.us-east-1	SRX8576014	Healthy	NextSeq 500	NA	Qcf8	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	DNaseI_7	Plasma	NA	SRP267900	Plasma	DNase I treatment: replicate 7
SRR12047403	NA	RNA-Seq	150	1978212450	Innovative Research	PRJNA640428	SAMN15317935	Human	969867075	UNIVERSITY OF TEXAS AT AUSTIN	public	fastq,sra	s3,gs	s3.us-east-1,gs.US	SRX8576013	Healthy	NextSeq 500	NA	Qcf7	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	DNaseI_6	Plasma	NA	SRP267900	Plasma	DNase I treatment: replicate 6
SRR12047404	NA	RNA-Seq	150	1619782200	Innovative Research	PRJNA640428	SAMN15317934	Human	794526286	UNIVERSITY OF TEXAS AT AUSTIN	public	sra,fastq	s3,gs	gs.US,s3.us-east-1	SRX8576012	Healthy	NextSeq 500	NA	Qcf6_SS	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	DNaseI_5	Plasma	NA	SRP267900	Plasma	DNase I treatment: replicate 5
SRR12047405	NA	WGS	150	14486898600	NA	PRJNA640428	SAMN15317964	Human	7404809156	UNIVERSITY OF TEXAS AT AUSTIN	public	fastq,sra	s3,gs	s3.us-east-1,gs.US	SRX8576011	NA	NextSeq 500	NA	genome-sim	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	WGS-sim	NA	NA	SRP267900	NA	Simulated short reads
SRR12047406	NA	RNA-Seq	150	8189226300	Innovative Research	PRJNA640428	SAMN15317963	Human	3937266739	UNIVERSITY OF TEXAS AT AUSTIN	public	fastq,sra	s3,gs	s3.us-east-1,gs.US	SRX8576010	Healthy	NextSeq 500	NA	Qcf_L4	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	SMART_4	Plasma	NA	SRP267900	Plasma	SMART-Seq: replicate 4
SRR12047407	NA	RNA-Seq	150	9130416150	Innovative Research	PRJNA640428	SAMN15317962	Human	4356862715	UNIVERSITY OF TEXAS AT AUSTIN	public	fastq,sra	gs,s3	gs.US,s3.us-east-1	SRX8576009	Healthy	NextSeq 500	NA	Qcf_L3	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	SMART_3	Plasma	NA	SRP267900	Plasma	SMART-Seq: replicate 3
SRR12047408	NA	RNA-Seq	150	17349331500	Innovative Research	PRJNA640428	SAMN15317961	Human	8186166744	UNIVERSITY OF TEXAS AT AUSTIN	public	fastq,sra	gs,s3	s3.us-east-1,gs.US	SRX8576008	Healthy	NextSeq 500	NA	Qcf_L2	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	SMART_2	Plasma	NA	SRP267900	Plasma	SMART-Seq: replicate 2
SRR12047409	NA	RNA-Seq	150	15690586500	Innovative Research	PRJNA640428	SAMN15317960	Human	7415171690	UNIVERSITY OF TEXAS AT AUSTIN	public	sra,fastq	gs,s3	gs.US,s3.us-east-1	SRX8576007	Healthy	NextSeq 500	NA	Qcf_L1	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	SMART_1	Plasma	NA	SRP267900	Plasma	SMART-Seq: replicate 1
SRR12047410	NA	RNA-Seq	150	1475293800	Innovative Research	PRJNA640428	SAMN15317933	Human	726515253	UNIVERSITY OF TEXAS AT AUSTIN	public	fastq,sra	s3,gs	s3.us-east-1,gs.US	SRX8576006	Healthy	NextSeq 500	NA	Qcf5	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-09-09T00:00:00Z	DNaseI_4	Plasma	NA	SRP267900	Plasma	DNase I treatment: replicate 4
