Run	LibrarySelection	Sample Name	SAMPLE_TYPE	TREATMENT
SRR12047399	cDNA	DNaseI_10	Plasma	DNase I treatment: replicate 10
SRR12047400	cDNA	DNaseI_9	Plasma	DNase I treatment: replicate 9
SRR12047401	cDNA	DNaseI_8	Plasma	DNase I treatment: replicate 8
SRR12047402	cDNA	DNaseI_7	Plasma	DNase I treatment: replicate 7
SRR12047403	cDNA	DNaseI_6	Plasma	DNase I treatment: replicate 6
SRR12047404	cDNA	DNaseI_5	Plasma	DNase I treatment: replicate 5
SRR12047406	Oligo-dT	SMART_4	Plasma	SMART-Seq: replicate 4
SRR12047407	Oligo-dT	SMART_3	Plasma	SMART-Seq: replicate 3
SRR12047408	Oligo-dT	SMART_2	Plasma	SMART-Seq: replicate 2
SRR12047409	Oligo-dT	SMART_1	Plasma	SMART-Seq: replicate 1
SRR12047410	cDNA	DNaseI_4	Plasma	DNase I treatment: replicate 4
SRR12047418	cDNA	DNaseI_PNK_3	Plasma	DNase I and T4PNK treatment: replicate 3
SRR12047419	cDNA	DNaseI_PNK_2	Plasma	DNase I and T4PNK treatment: replicate 2
SRR12047420	cDNA	DNaseI_PNK_1	Plasma	DNase I and T4PNK treatment: replicate 1
SRR12047421	cDNA	DNaseI_3	Plasma	DNase I treatment: replicate 3
SRR12047430	cDNA	DNaseI_12	Plasma	DNase I treatment: replicate 12
SRR12047431	cDNA	DNaseI_11	Plasma	DNase I treatment: replicate 11
SRR12047432	cDNA	DNaseI_2	Plasma	DNase I treatment: replicate 2
SRR12047433	cDNA	DNaseI_1	Plasma	DNase I treatment: replicate 1
